"Indicator","Source","Unit","Quarter","Year","Agriculture","Petroleum","Natural Gas","Other Extractions","Petroleum Refining","Other Manufacturing","Electricity","Water And Sewerage","Construction","Storage And Transportation","Information And Communication","Suez Canal","Wholesale And RetailTrade","Financial Intermediary Insurance And Social Security","Accommodation And Food Service Activities","Real Estate Activities","Education","Health","Other Srvices","Total Public Investments"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q2","1998/1997","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q1","1998/1997","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q4","1997/1996","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q3","1997/1996","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q2","1997/1996","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q1","1997/1996","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q4","1996/1995","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q3","1996/1995","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q2","1996/1995","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q1","1996/1995","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q4","1995/1994","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q3","1995/1994","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q2","1995/1994","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q1","1995/1994","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q4","1994/1993","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q3","1994/1993","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q2","1994/1993","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q1","1994/1993","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q4","1993/1992","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q3","1993/1992","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q2","1993/1992","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q1","1993/1992","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q4","1992/1991","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q3","1992/1991","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q2","1992/1991","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q1","1992/1991","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q4","1991/1990","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q3","1991/1990","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q2","1991/1990","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q1","1991/1990","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q4","1990/1989","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q3","1990/1989","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q2","1990/1989","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q1","1990/1989","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q4","1989/1988","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q3","1989/1988","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q2","1989/1988","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q1","1989/1988","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q4","1988/1987","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q3","1988/1987","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q2","1988/1987","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q1","1988/1987","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q4","1987/1986","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q3","1987/1986","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q2","1987/1986","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q1","1987/1986","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q4","1986/1985","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q3","1986/1985","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q2","1986/1985","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q1","1986/1985","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q4","1985/1984","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q3","1985/1984","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q2","1985/1984","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q1","1985/1984","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q4","1984/1983","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q3","1984/1983","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q2","1984/1983","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q1","1984/1983","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q4","1983/1982","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q3","1983/1982","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q2","1983/1982","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q1","1983/1982","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
